run,date(dd-mm),run type,Quality,Problem,Nevents (k),Edrift (V/cm),Eextraction (kV/cm),SiPM tension (V),gas pocket,laser intensity,trigger,trigtime (µs),post-trigger (µs),Time gate  (µs),PDM Coindidence,Threshold extent (ns),TPC pressure (mbarg),baseline from (samples),baseline to (samples),charge from (samples),charge to (samples),hit height cut (ADC),hit prominence cut (prominence),hit distance cut (samples),hit width cut (samples)
1127,14-11,baseline run,good,,5,0,0,67,OFF,,external (50 Hz),600,400,1000,,80,240,,,,,,,,
1130,14-11,baseline run (with blanket),good,,5,0,0,67,OFF,,external (50 Hz),600,400,1000,,80,240,,,,,,,,
1131,14-11,baseline run (with blanket),good,,5,0,0,65,OFF,,external (50 Hz),600,400,1000,,80,240,,,,,,,,
1132,14-11,baseline run (with blanket),good,,5,0,0,63,OFF,,external (50 Hz),600,400,1000,,80,240,,,,,,,,
1133,14-11,s1,good,,50,0,0,65,OFF,,100,5,25,30,2,80,240,,,,,,,,
1134,14-11,s1,good,,50,0,0,65,OFF,,200,5,25,30,2,80,240,,,,,,,,
1135,14-11,s1,good,,50,0,0,65,OFF,,400,5,25,30,2,80,240,,,,,,,,
1136,14-11,s1,good,,50,0,0,65,OFF,,600,5,25,30,2,80,240,,,,,,,,
1137,14-11,s1,good,,50,0,0,65,OFF,,1000,5,25,30,2,80,240,,,,,,,,
1138,14-11,s1,good,,50,0,0,65,OFF,,100,5,25,30,3,80,240,,,,,,,,
1139,14-11,s1,good,,50,0,0,65,OFF,,200,5,25,30,3,80,240,,,,,,,,
1140,14-11,s1,good,,50,0,0,65,OFF,,400,5,25,30,3,80,240,,,,,,,,
1141,14-11,s1,good,,50,0,0,65,OFF,,600,5,25,30,3,80,240,,,,,,,,
1142,14-11,s1,good,,50,0,0,65,OFF,,1000,5,25,30,3,80,240,,,,,,,,
1143,14-11,s1,good,,50,0,0,65,OFF,,100,5,25,30,5,80,240,,,,,,,,
1144,14-11,s1,good,,50,0,0,65,OFF,,200,5,25,30,5,80,240,,,,,,,,
1145,14-11,s1,good,,50,0,0,65,OFF,,400,5,25,30,5,80,240,,,,,,,,
1146,14-11,s1,good,,50,0,0,65,OFF,,600,5,25,30,5,80,240,,,,,,,,
1147,14-11,s1,good,,50,0,0,65,OFF,,1000,5,25,30,5,80,240,,,,,,,,
1149,14-11,s1,good,,50,500,0,65,OFF,,100,5,25,30,5,80,240,,,,,,,,
1150,14-11,s1,good,,50,500,0,65,OFF,,200,5,25,30,5,80,240,,,,,,,,
1151,14-11,s1,good,,50,500,0,65,OFF,,400,5,25,30,5,80,240,,,,,,,,
1152,14-11,s1,good,,50,500,0,65,OFF,,600,5,25,30,5,80,240,,,,,,,,
1153,14-11,s1,good,,50,500,0,65,OFF,,1000,5,25,30,5,80,240,,,,,,,,
1154,14-11,s1,good,,50,500,0,65,OFF,,100,5,25,30,2,80,240,,,,,,,,
1155,14-11,s1,good,,50,500,0,65,OFF,,200,5,25,30,2,80,240,,,,,,,,
1156,14-11,s1,good,,50,500,0,65,OFF,,400,5,25,30,2,80,240,,,,,,,,
1157,14-11,s1,good,,50,500,0,65,OFF,,600,5,25,30,2,80,240,,,,,,,,
1158,14-11,s1,good,,50,500,0,65,OFF,,1000,5,25,30,2,80,240,,,,,,,,
1159,14-11,s1,good,,50,500,0,65,OFF,,100,5,25,30,3,80,240,,,,,,,,
1160,14-11,s1,good,,50,500,0,65,OFF,,200,5,25,30,3,80,240,,,,,,,,
1161,14-11,s1,good,,50,500,0,65,OFF,,400,5,25,30,3,80,240,,,,,,,,
1163,14-11,s1,good,,50,500,0,65,OFF,,600,5,25,30,3,80,240,,,,,,,,
1164,14-11,s1,good,,50,500,0,65,OFF,,1000,5,25,30,3,80,240,,,,,,,,
1169,14-11,laser run,good,,100,,,65,OFF,MAX,external clock (laser set to 1 kHz),5,7,12,,80,240,,,,,,,,
1170,14-11,laser run,good,,100,,,65,OFF,MIN,external clock (laser set to 1 kHz),5,7,12,,80,240,,,,,,,,
1171,15-11,s1,good,,20,0,0,65,OFF,,200,5,25,30,2,80,80,,,,,,,,
1172,15-11,s1,good,,20,0,0,65,OFF,,200,5,25,30,3,80,80,,,,,,,,
1173,15-11,s1,good,,20,0,0,65,OFF,,200,5,25,30,4,80,80,,,,,,,,
1174,15-11,s1,good,,20,0,0,65,OFF,,200,5,25,30,5,80,80,,,,,,,,
1175,15-11,s1,good,,20,0,0,65,OFF,,200,5,25,30,6,80,80,,,,,,,,
1176,15-11,s1,good,,20,0,0,65,OFF,,500,5,25,30,2,80,80,,,,,,,,
1177,15-11,s1,good,,20,0,0,65,OFF,,500,5,25,30,3,80,80,,,,,,,,
1178,15-11,s1,good,,20,0,0,65,OFF,,500,5,25,30,4,80,80,,,,,,,,
1179,15-11,s1,good,,20,0,0,65,OFF,,500,5,25,30,5,80,80,,,,,,,,
1180,15-11,s1,good,,20,0,0,65,OFF,,500,5,25,30,6,80,80,,,,,,,,
1182,15-11,s1,good,,100,0,0,65,OFF,,200,5,195,200,5,80,80,,,,,,,,
1186,16-11,s2,good,DAQ,10,200,2.8,65,ON(7 mm),,100,5,25,30,2,80,26,,,,,,,,
1188,16-11,s2,good,DAQ,70,200,2.8,65,ON(7 mm),,100,5,25,30,2,80,26,,,,,,,,
1189,16-11,s2,good,,20,200,2.8,65,ON(7 mm),,200,5,25,30,2,80,26,,,,,,,,
1190,16-11,s2,good,,20,200,2.8,65,ON(7 mm),,200,5,25,30,2,160,26,,,,,,,,
1191,16-11,s2,good,,20,200,2.8,65,ON(7 mm),,200,5,25,30,2,240,26,,,,,,,,
1192,16-11,s2,good,,20,200,2.8,65,ON(7 mm),,500,5,25,30,2,80,26,,,,,,,,
